Tarih,TP_DK_USD_S_YTL
2017-03-07,3.7181
2017-03-08,3.6908
2017-03-09,3.7097
2017-03-10,3.7589
2017-03-11,
2017-03-12,
2017-03-13,3.7532
2017-03-14,3.7462
2017-03-15,3.7526
2017-03-16,3.7356
2017-03-17,3.678
2017-03-18,
2017-03-19,
2017-03-20,3.6123
2017-03-21,3.6326
2017-03-22,3.617
2017-03-23,3.6322
2017-03-24,3.6199
2017-03-25,
2017-03-26,
2017-03-27,3.625
2017-03-28,3.5996
2017-03-29,3.6251
2017-03-30,3.6481
2017-03-31,3.6452
2017-04-01,
2017-04-02,
2017-04-03,3.6427
2017-04-04,3.6441
2017-04-05,3.6496
2017-04-06,3.6834
2017-04-07,3.7148
2017-04-08,
2017-04-09,
2017-04-10,3.7275
2017-04-11,3.733
2017-04-12,3.722
2017-04-13,3.6825
2017-04-14,3.6631
2017-04-15,
2017-04-16,
2017-04-17,3.6867
2017-04-18,3.6646
2017-04-19,3.6904
2017-04-20,3.6689
2017-04-21,3.6445
2017-04-22,
2017-04-23,
2017-04-24,3.6457
2017-04-25,3.599
2017-04-26,3.5893
2017-04-27,3.5915
2017-04-28,3.5647
2017-04-29,
2017-04-30,
2017-05-01,
2017-05-02,3.5568
2017-05-03,3.5411
2017-05-04,3.538
2017-05-05,3.5492
2017-05-06,
2017-05-07,
2017-05-08,3.566
2017-05-09,3.554
2017-05-10,3.5993
2017-05-11,3.6048
2017-05-12,3.5801
2017-05-13,
2017-05-14,
2017-05-15,3.5925
2017-05-16,3.5625
2017-05-17,3.5519
2017-05-18,3.5611
2017-05-19,
2017-05-20,
2017-05-21,
2017-05-22,3.6193
2017-05-23,3.5676
2017-05-24,3.572
2017-05-25,3.5709
2017-05-26,3.565
2017-05-27,
2017-05-28,
2017-05-29,3.5715
2017-05-30,3.5814
2017-05-31,3.5707
2017-06-01,3.5398
2017-06-02,3.5376
2017-06-03,
2017-06-04,
2017-06-05,3.5344
2017-06-06,3.5123
2017-06-07,3.538
2017-06-08,3.5236
2017-06-09,3.5476
2017-06-10,
2017-06-11,
2017-06-12,3.5281
2017-06-13,3.5254
2017-06-14,3.5232
2017-06-15,3.5199
2017-06-16,3.5093
2017-06-17,
2017-06-18,
2017-06-19,3.5187
2017-06-20,3.5083
2017-06-21,3.5278
2017-06-22,3.5413
2017-06-23,3.5243
2017-06-24,
2017-06-25,
2017-06-26,
2017-06-27,
2017-06-28,3.5063
2017-06-29,3.5274
2017-06-30,3.5135
2017-07-01,
2017-07-02,
2017-07-03,3.5232
2017-07-04,3.5369
2017-07-05,3.5555
2017-07-06,3.5853
2017-07-07,3.6288
2017-07-08,
2017-07-09,
2017-07-10,3.6365
2017-07-11,3.6105
2017-07-12,3.6375
2017-07-13,3.6091
2017-07-14,3.5721
2017-07-15,
2017-07-16,
2017-07-17,3.5671
2017-07-18,3.5437
2017-07-19,3.5331
2017-07-20,3.5328
2017-07-21,3.5368
2017-07-22,
2017-07-23,
2017-07-24,3.536
2017-07-25,3.5508
2017-07-26,3.5642
2017-07-27,3.5638
2017-07-28,3.5326
2017-07-29,
2017-07-30,
2017-07-31,3.5356
2017-08-01,3.529
2017-08-02,3.5233
2017-08-03,3.5355
2017-08-04,3.5439
2017-08-05,
2017-08-06,
2017-08-07,3.535
2017-08-08,3.5359
2017-08-09,3.5338
2017-08-10,3.5448
2017-08-11,3.5407
2017-08-12,
2017-08-13,
2017-08-14,3.5499
2017-08-15,3.5316
2017-08-16,3.5338
2017-08-17,3.5352
2017-08-18,3.5241
2017-08-19,
2017-08-20,
2017-08-21,3.5276
2017-08-22,3.5172
2017-08-23,3.5036
2017-08-24,3.5019
2017-08-25,3.4844
2017-08-26,
2017-08-27,
2017-08-28,3.4844
2017-08-29,3.4508
2017-08-30,
2017-08-31,3.4472
2017-09-01,
2017-09-02,
2017-09-03,
2017-09-04,
2017-09-05,3.4472
2017-09-06,3.4454
2017-09-07,3.446
2017-09-08,3.4266
2017-09-09,
2017-09-10,
2017-09-11,3.4123
2017-09-12,3.4026
2017-09-13,3.4326
2017-09-14,3.4402
2017-09-15,3.4606
2017-09-16,
2017-09-17,
2017-09-18,3.4384
2017-09-19,3.4598
2017-09-20,3.4963
2017-09-21,3.482
2017-09-22,3.5153
2017-09-23,
2017-09-24,
2017-09-25,3.4925
2017-09-26,3.5225
2017-09-27,3.5408
2017-09-28,3.5721
2017-09-29,3.5784
2017-09-30,
2017-10-01,
2017-10-02,3.5585
2017-10-03,3.5822
2017-10-04,3.5845
2017-10-05,3.5699
2017-10-06,3.5749
2017-10-07,
2017-10-08,
2017-10-09,3.6106
2017-10-10,3.7026
2017-10-11,3.6877
2017-10-12,3.6819
2017-10-13,3.6514
2017-10-14,
2017-10-15,
2017-10-16,3.6544
2017-10-17,3.6467
2017-10-18,3.6612
2017-10-19,3.6815
2017-10-20,3.6666
2017-10-21,
2017-10-22,
2017-10-23,3.6661
2017-10-24,3.7051
2017-10-25,3.7178
2017-10-26,3.7376
2017-10-27,3.7729
2017-10-28,
2017-10-29,
2017-10-30,3.8243
2017-10-31,3.7768
2017-11-01,3.7822
2017-11-02,3.8149
2017-11-03,3.8141
2017-11-04,
2017-11-05,
2017-11-06,3.8272
2017-11-07,3.866
2017-11-08,3.8602
2017-11-09,3.8885
2017-11-10,3.8604
2017-11-11,
2017-11-12,
2017-11-13,3.8713
2017-11-14,3.8728
2017-11-15,3.8734
2017-11-16,3.8906
2017-11-17,3.8753
2017-11-18,
2017-11-19,
2017-11-20,3.8862
2017-11-21,3.8942
2017-11-22,3.9596
2017-11-23,3.9665
2017-11-24,3.9241
2017-11-25,
2017-11-26,
2017-11-27,3.9436
2017-11-28,3.9356
2017-11-29,3.9285
2017-11-30,3.9576
2017-12-01,3.9461
2017-12-02,
2017-12-03,
2017-12-04,3.9395
2017-12-05,3.9261
2017-12-06,3.8693
2017-12-07,3.8597
2017-12-08,3.8677
